Id,SalePrice
1461,114373.13818154825
1462,159564.22300515173
1463,166472.25118472776
1464,191003.6997560141
1465,185639.10400366463
1466,170374.2040388274
1467,190506.07201355847
1468,165458.00138290745
1469,189617.5581206402
1470,117715.28015852373
1471,187118.72953376715
1472,104747.99442410703
1473,98301.23524288787
1474,146825.02341412945
1475,118773.73188707438
1476,342438.09590000263
1477,237871.3540955701
1478,288283.6424310529
1479,279039.48300926725
1480,466760.09577546944
1481,300956.12338457484
1482,202138.23032454695
1483,172751.8057085585
1484,165189.26983978055
1485,197079.53778112348
1486,198026.98821878852
1487,312565.0115795924
1488,230794.77860992178
1489,181009.09869882982
1490,226089.60950457922
1491,196643.21244431814
1492,87670.64913646632
1493,197253.56289326676
1494,289823.48016820475
1495,275555.54931996414
1496,219131.67801879102
1497,170270.41952758998
1498,160810.99260108738
1499,159906.8755923451
1500,158557.96795884322
1501,165260.43313554986
1502,153575.41501834168
1503,284351.935864529
1504,244823.7423943396
1505,222854.0179424806
1506,198525.67082418708
1507,242043.00925435993
1508,196409.62465526315
1509,155998.28967334382
1510,136990.03339573438
1511,149828.49045934426
1512,176933.53337280365
1513,155519.28172533456
1514,143552.54484362077
1515,186474.24983182419
1516,152563.58981586166
1517,157749.0326416809
1518,133020.2865804436
1519,209004.46786025312
1520,127747.6817460211
1521,120707.53120483259
1522,183588.64659554636
1523,102381.51731572764
1524,118965.1322456359
1525,111121.24815622838
1526,100841.6366998119
1527,103479.62174311501
1528,147165.2469874481
1529,135094.08918080566
1530,195593.51001714767
1531,119867.17602935391
1532,107184.46404004881
1533,155431.87419331682
1534,131483.1508851305
1535,145447.2404794913
1536,112901.75050147796
1537,61004.99528951128
1538,135964.1108605991
1539,202027.5114249027
1540,89471.41595303877
1541,134194.16392412232
1542,133104.19853935434
1543,158225.7599183
1544,89805.54099114896
1545,108500.2521630109
1546,138388.67209277072
1547,127534.52671462907
1548,129159.79392133447
1549,113320.74605208944
1550,127165.04214492752
1551,121859.30848730014
1552,129841.33215253007
1553,134811.94996816787
1554,120362.12246829129
1555,155714.42993346034
1556,84942.14300035937
1557,90619.73303396073
1558,106947.92634656308
1559,75072.92657995137
1560,134781.79619202527
1561,117121.2150100857
1562,134147.2919943831
1563,117808.79025415501
1564,154238.45629175322
1565,130935.33231723376
1566,230191.52045739692
1567,81482.87478322882
1568,230708.34894877675
1569,117894.67264554476
1570,147628.51999985712
1571,114237.63744205773
1572,139650.3971286288
1573,224533.14447353472
1574,117242.55223745578
1575,222767.7071817034
1576,257630.51765537713
